Name,Gender,DOB,Salary,Purchased
Stephanie,Male,1961-06-12,49615.49,No
Daniel,Male,1980-12-13,73519.05,No
Darrell,Female,1968-10-26,97207.44,Yes
Chad,Male,1964-05-09,55925.71,No
Penny,Male,1972-11-10,64054.06,No
Christopher,Male,1978-11-23,42241.12,Yes
Deborah,Male,1981-06-29,103439.76,Yes
Michael,Male,2005-06-12,134392.9,No
Denise,Female,2003-08-07,61928.08,Yes
Charles,Male,1985-02-16,84500.94,Yes
Lori,Male,1960-09-17,104048.97,Yes
Christina,Male,1963-02-12,122514.06,Yes
Chris,Male,1960-12-09,116057.7,No
Diana,Male,1992-05-04,73443.62,Yes
Robert,Male,1979-03-26,127794.29,No
Emily,Male,1987-04-12,39044.84,Yes
Samuel,Female,1962-12-06,63944.22,Yes
Patrick,Male,1989-06-15,141852.84,No
Lisa,Female,1979-10-03,60849.77,Yes
John,Female,1981-03-09,118639.08,No
Emily,Male,2005-01-17,34102.86,Yes
Jonathan,Male,1995-05-25,92718.85,Yes
Mark,Female,1992-09-06,117401.17,Yes
Jacqueline,Female,1987-11-17,135972.42,Yes
Vincent,Female,2007-03-22,75084.26,No
Alex,Male,1966-04-09,105807.97,Yes
Kathleen,Male,1992-02-05,142533.63,Yes
Nicole,Female,1987-08-06,125514.57,No
Michelle,Male,1989-09-02,54581.29,Yes
Shawn,Male,1960-05-16,119382.38,No
Bryan,Female,1971-04-15,82255.43,Yes
Mark,Male,2002-06-26,106881.73,No
Robert,Female,1998-08-13,77388.48,Yes
Austin,Female,1976-08-05,33502.8,Yes
Elizabeth,Female,1963-06-19,47735.67,No
Amy,Male,1997-03-23,67103.72,No
Nancy,Female,1973-07-23,63908.91,Yes
Shane,Male,1973-12-20,49727.58,Yes
Kimberly,Female,1988-11-22,111617.32,Yes
James,Male,1978-03-03,42997.49,Yes
Gregory,Female,1968-03-21,46082.11,No
Mark,Female,1976-08-10,47845.66,No
Kyle,Male,2004-11-08,,No
Linda,Male,1980-02-24,43659.8,Yes
Morgan,Male,1992-03-29,71548.18,No
Michelle,Male,1983-12-08,91327.74,Yes
Donald,Female,1971-01-17,75493.56,Yes
Jeffery,Male,1960-06-03,66773.43,Yes
Steven,Male,1978-02-11,91653.62,Yes
Kathleen,Male,1962-12-01,101963.58,Yes
Joseph,Female,2004-10-02,51720.16,No
Derrick,Female,1972-01-03,133599.86,No
Anthony,Female,1987-01-21,86051.48,No
Carrie,Female,1970-11-29,114941.2,No
Johnny,Male,2003-12-18,83964.7,Yes
Chelsea,Female,2000-12-30,70996.9,No
Robin,Female,1967-02-06,95529.0,Yes
Lauren,Male,1962-01-28,123086.23,Yes
Michele,Female,2003-08-28,90620.95,No
Richard,Male,1963-04-23,132003.7,Yes
Anna,Male,2001-09-11,86769.76,Yes
Brittany,Male,1966-10-25,54819.24,No
Brian,Male,1967-05-08,86589.6,Yes
Jennifer,Female,1965-12-13,149006.43,No
Stephanie,Female,1969-07-29,118331.91,No
Vanessa,Female,1982-08-31,133461.49,No
Cody,Male,1988-03-18,51310.28,No
Louis,Female,1964-09-08,119061.59,No
Logan,Male,1961-11-30,144704.69,Yes
Taylor,Male,2006-03-11,77975.42,No
Marc,Male,1978-08-24,116512.25,No
Anna,Female,1968-08-12,61378.93,Yes
Mitchell,Female,2005-08-02,130190.85,No
Melissa,Female,1996-06-21,41629.34,Yes
Kyle,Male,1996-01-10,32126.13,Yes
Evelyn,Male,1978-11-14,57893.3,Yes
Sheena,Female,1996-04-16,116524.13,No
Vanessa,Male,1977-02-03,34470.72,Yes
Mary,Female,2000-12-04,145678.21,Yes
Amanda,Female,1975-06-21,92080.4,Yes
Mark,Female,1990-10-20,110901.37,No
Adam,Male,1997-03-07,130628.94,Yes
Cheryl,Female,1981-05-12,82947.36,No
Alexandra,Male,1999-01-18,30688.26,Yes
Kimberly,Male,1962-04-27,65967.92,Yes
Edwin,Female,2002-11-23,48569.93,Yes
Bonnie,Female,1980-03-20,120087.6,Yes
Jose,Female,1999-06-21,106230.22,No
Erin,Female,1960-12-03,98839.6,Yes
Ralph,Male,1977-04-22,119603.41,No
Jacob,Male,1974-07-16,72118.9,No
Wayne,Female,1994-05-20,35501.66,Yes
Kimberly,Male,1965-12-07,81415.59,No
Devin,Male,1995-01-15,131744.93,Yes
Bryan,Male,1964-12-01,112941.5,No
Monica,Male,1983-03-30,37312.96,Yes
Heather,Male,1993-10-26,89303.26,Yes
Melissa,Female,1982-05-20,100830.99,Yes
Jennifer,Male,1991-11-13,139711.54,Yes
Lance,Female,1962-07-19,83314.96,Yes
Brendan,Female,1962-01-28,128869.55,No
Kyle,Female,1976-07-02,97812.21,No
Lawrence,Female,1971-07-14,73873.14,Yes
Blake,Male,1991-08-28,41167.43,No
Shawn,Male,1989-08-08,127155.34,Yes
Calvin,Female,1962-02-09,135377.15,Yes
Jason,Female,1972-04-12,83504.54,Yes
Bailey,Male,1997-07-31,51058.68,No
Heather,Female,1979-01-16,85312.28,No
Phyllis,Female,1999-12-17,133307.05,No
Joseph,Male,1967-04-16,75198.91,No
Peter,Female,1982-11-20,135949.63,Yes
Michelle,Male,1991-05-13,61267.55,No
John,Female,1998-05-22,131386.17,No
Dominic,Male,1989-08-02,88733.95,No
Kevin,Male,1961-08-16,124378.93,Yes
Brad,Female,1971-03-11,94430.36,No
Maria,Male,1979-11-05,145683.11,No
Amy,Male,1980-07-16,38059.4,Yes
Stephen,Female,1990-03-28,,No
Heather,Male,1980-06-20,64460.24,No
Gabriel,Male,2005-03-28,144143.19,Yes
Thomas,Female,2006-10-18,137043.19,Yes
Rachel,Female,1962-11-07,71479.85,No
Christopher,Male,1975-03-17,115036.35,No
Jason,Male,1994-04-21,66163.09,No
Stephanie,Female,1960-06-17,80610.79,Yes
Steve,Female,1973-05-12,124180.19,No
Tina,Male,1989-03-17,43299.35,Yes
Martha,Male,1963-02-13,37601.4,No
Steven,Male,1986-12-03,59925.01,Yes
Katherine,Male,1995-10-20,40295.47,Yes
Jon,Male,1968-05-31,71630.97,No
Kimberly,Female,1969-03-26,90489.8,No
David,Male,2002-08-18,34465.02,No
Jeanne,Male,1998-01-04,38742.65,Yes
Michael,Male,1999-06-16,74198.46,No
Kevin,Female,1979-05-11,61090.03,Yes
David,Male,1992-09-20,113141.67,Yes
Mark,Female,2002-05-13,85660.79,No
Andrew,Female,1963-10-11,122280.81,No
Tiffany,Male,1977-06-14,80992.5,Yes
John,Male,1966-06-04,96977.86,No
Ryan,Female,2001-03-23,77479.12,Yes
Shelly,Female,1970-01-13,127575.28,Yes
Michael,Female,1991-03-08,37851.54,Yes
Kenneth,Female,1986-12-13,48005.32,Yes
Jacqueline,Female,1994-05-24,75524.43,Yes
Michael,Male,2001-10-01,89763.02,No
Eric,Male,1962-03-31,99596.4,Yes
Steven,Male,1992-07-08,134238.78,No
Zachary,Male,1986-09-04,77579.8,Yes
Joseph,Female,1963-06-16,40411.71,Yes
Monica,Male,1973-05-10,98786.84,Yes
Charles,Male,1973-12-29,145720.82,No
Natalie,Male,1977-12-23,82837.3,No
Kelly,Male,1971-10-08,32896.28,No
Sara,Male,1992-08-08,66820.64,Yes
Amy,Male,2003-01-12,123292.7,Yes
Steven,Male,2002-03-08,33271.53,No
Michael,Male,1987-11-27,48323.56,Yes
Matthew,Male,1961-09-01,95044.28,Yes
David,Female,1979-09-01,30972.92,No
Charles,Male,1996-07-20,115417.2,Yes
Barbara,Male,1979-11-07,39805.03,No
Michelle,Female,1962-05-21,122883.79,No
Jessica,Female,1991-11-30,123538.49,Yes
Chris,Male,1981-03-21,135187.15,No
Kimberly,Male,1979-02-10,121843.22,Yes
Tracy,Female,1998-09-02,98753.65,No
Ronald,Male,1972-07-30,53689.18,Yes
Ryan,Female,1972-08-11,104392.11,Yes
Sue,Female,1983-09-01,50445.37,No
David,Male,1992-03-31,132866.29,Yes
Justin,Male,1977-03-25,50388.35,No
Christine,Male,1984-11-04,37229.95,No
Jeffrey,Female,1992-10-23,140842.94,No
Eric,Female,1982-11-07,41418.2,Yes
David,Female,1979-07-15,137226.87,No
Mary,Female,1981-11-11,68814.67,Yes
Karen,Female,1992-07-14,144452.26,Yes
Jennifer,Male,2003-05-19,86739.29,No
Jeffrey,Male,1979-01-31,113373.21,No
Jodi,Male,2002-09-17,121864.97,No
Danielle,Female,2006-02-07,124786.79,No
Joshua,Female,1986-05-24,140783.92,No
Nathaniel,Male,1992-09-14,46190.95,No
Jenna,Male,2001-08-30,86416.51,No
David,Male,1960-11-25,143315.85,No
Joshua,Male,1988-05-17,73663.5,Yes
David,Female,1987-05-23,94859.26,No
Brandon,Male,2006-02-04,111972.26,No
Matthew,Female,2001-03-28,42422.94,No
Hannah,Male,1998-03-24,44158.45,No
Margaret,Female,1988-08-09,102951.82,Yes
Mary,Female,1992-10-02,41909.21,Yes
Tyler,Male,1967-11-24,136976.23,No
Trevor,Male,1981-03-15,37011.38,No
April,Female,1965-10-19,86198.12,No
David,Male,1990-03-08,107277.91,No
Katrina,Male,1999-10-23,30966.93,Yes
Scott,Male,1983-10-01,127191.83,No
Christina,Male,1995-05-16,102173.82,No
Kimberly,Male,2003-05-16,80474.79,Yes
Crystal,Male,1995-11-12,132832.91,Yes
April,Female,1977-12-02,99944.33,Yes
Dawn,Female,1964-10-13,58875.22,Yes
Jacob,Female,1981-08-24,122498.35,Yes
Travis,Male,1989-09-10,70116.27,No
Stephanie,Female,1995-07-05,73317.41,No
Blake,Male,1989-08-14,108270.59,Yes
Jessica,Male,1961-07-17,147870.16,No
Mark,Female,1961-06-04,76870.9,No
James,Male,1967-08-28,110442.11,Yes
Julie,Female,2001-03-14,129127.39,No
Melissa,Female,1968-05-03,102826.44,No
Carol,Female,1993-08-11,143615.07,Yes
Courtney,Female,1995-07-25,56625.95,No
Sheila,Female,1992-02-10,55928.56,Yes
Elizabeth,Female,1988-12-02,127216.85,No
Jasmine,Male,1973-06-27,53993.72,No
Corey,Male,1996-07-18,53560.84,Yes
Sarah,Female,2005-06-15,75862.56,Yes
Kathryn,Male,2005-12-14,30972.17,No
David,Male,1987-12-15,61820.55,No
Dakota,Male,1974-02-18,74481.92,Yes
Michael,Female,1965-02-13,75345.82,Yes
Ariana,Male,1988-03-31,36915.0,No
Ashley,Male,2002-05-13,34824.43,No
Anthony,Female,1982-10-30,90004.24,No
David,Male,2001-06-12,71926.12,Yes
Amber,Male,1967-04-23,98221.45,No
Samuel,Male,1960-11-04,144277.5,Yes
Shelby,Male,1972-09-24,136088.41,No
Michael,Male,2002-11-06,39611.59,No
Veronica,Male,1964-03-24,82554.57,Yes
Daniel,Male,2002-08-10,,No
Amanda,Female,1974-02-03,105720.39,Yes
Karl,Male,1982-08-27,80569.82,Yes
Margaret,Male,1980-03-02,143283.48,No
Tami,Male,2002-08-26,132313.37,No
Erica,Male,2003-02-02,34961.74,No
Monica,Female,1990-02-21,144069.99,Yes
